Name,Released,vCPU,score
c3,14/11/2013,32,58018.2
c4,12/01/2015,36,77021.5
c5,06/11/2017,96,238376.2
c6i,28/10/2021,128,298402.0
c7i,14/09/2023,192,545078.3
