Name,Released,vCPU,score
c3,14/11/2013,32,3108.4
c4,12/01/2015,36,3543.1
c5,06/11/2017,96,4323.1
c6i,28/10/2021,128,4421.8
c7i,14/09/2023,192,5081.1
