CPU,Time,GHz
0,2024-03-09 12:29:10.355267,0.076
1,2024-03-09 12:29:10.355274,0.073
2,2024-03-09 12:29:10.355276,0.100
3,2024-03-09 12:29:10.355278,0.072
0,2024-03-09 12:29:10.466269,0.017
1,2024-03-09 12:29:10.466277,0.014
2,2024-03-09 12:29:10.466280,0.095
3,2024-03-09 12:29:10.466285,0.019
0,2024-03-09 12:29:10.576522,0.736
1,2024-03-09 12:29:10.576526,1.011
2,2024-03-09 12:29:10.576527,0.601
3,2024-03-09 12:29:10.576528,1.395
0,2024-03-09 12:29:10.703995,2.655
1,2024-03-09 12:29:10.703999,2.903
2,2024-03-09 12:29:10.704000,2.991
3,2024-03-09 12:29:10.704001,2.876
0,2024-03-09 12:29:10.831012,2.746
1,2024-03-09 12:29:10.831017,2.707
2,2024-03-09 12:29:10.831019,2.736
3,2024-03-09 12:29:10.831020,2.838
0,2024-03-09 12:29:10.958234,3.005
1,2024-03-09 12:29:10.958238,2.701
2,2024-03-09 12:29:10.958239,2.766
3,2024-03-09 12:29:10.958240,2.825
0,2024-03-09 12:29:11.080893,2.816
1,2024-03-09 12:29:11.080897,3.077
2,2024-03-09 12:29:11.080898,2.037
3,2024-03-09 12:29:11.080900,2.735
0,2024-03-09 12:29:11.207951,2.709
1,2024-03-09 12:29:11.207955,3.026
2,2024-03-09 12:29:11.207956,2.832
3,2024-03-09 12:29:11.207957,3.101
0,2024-03-09 12:29:11.333229,2.529
1,2024-03-09 12:29:11.333232,2.787
2,2024-03-09 12:29:11.333234,2.756
3,2024-03-09 12:29:11.333235,2.558
0,2024-03-09 12:29:11.464646,2.725
1,2024-03-09 12:29:11.464649,2.748
2,2024-03-09 12:29:11.464651,2.508
3,2024-03-09 12:29:11.464653,2.660
0,2024-03-09 12:29:11.589538,2.677
1,2024-03-09 12:29:11.589542,2.886
2,2024-03-09 12:29:11.589543,2.692
3,2024-03-09 12:29:11.589545,2.623
0,2024-03-09 12:29:11.713205,2.673
1,2024-03-09 12:29:11.713209,2.918
2,2024-03-09 12:29:11.713210,2.956
3,2024-03-09 12:29:11.713212,2.589
0,2024-03-09 12:29:11.838654,2.713
1,2024-03-09 12:29:11.838657,2.665
2,2024-03-09 12:29:11.838659,2.886
3,2024-03-09 12:29:11.838660,2.829
0,2024-03-09 12:29:11.967595,2.740
1,2024-03-09 12:29:11.967599,2.890
2,2024-03-09 12:29:11.967600,2.597
3,2024-03-09 12:29:11.967603,2.856
0,2024-03-09 12:29:12.092612,2.621
1,2024-03-09 12:29:12.092617,2.601
2,2024-03-09 12:29:12.092618,2.765
3,2024-03-09 12:29:12.092619,2.598
0,2024-03-09 12:29:12.218530,2.607
1,2024-03-09 12:29:12.218534,2.792
2,2024-03-09 12:29:12.218536,2.647
3,2024-03-09 12:29:12.218537,2.730
0,2024-03-09 12:29:12.345470,2.877
1,2024-03-09 12:29:12.345474,3.168
2,2024-03-09 12:29:12.345475,2.860
3,2024-03-09 12:29:12.345477,2.646
0,2024-03-09 12:29:12.477064,2.880
1,2024-03-09 12:29:12.477067,2.960
2,2024-03-09 12:29:12.477069,2.533
3,2024-03-09 12:29:12.477070,2.894
0,2024-03-09 12:29:12.601021,2.905
1,2024-03-09 12:29:12.601025,2.867
2,2024-03-09 12:29:12.601043,2.915
3,2024-03-09 12:29:12.601045,2.737
0,2024-03-09 12:29:12.728612,2.857
1,2024-03-09 12:29:12.728615,2.783
2,2024-03-09 12:29:12.728617,2.583
3,2024-03-09 12:29:12.728618,2.698
0,2024-03-09 12:29:12.853569,2.970
1,2024-03-09 12:29:12.853573,2.825
2,2024-03-09 12:29:12.853574,2.784
3,2024-03-09 12:29:12.853575,2.821
0,2024-03-09 12:29:12.978113,2.711
1,2024-03-09 12:29:12.978117,2.700
2,2024-03-09 12:29:12.978118,2.690
3,2024-03-09 12:29:12.978119,3.027
0,2024-03-09 12:29:13.102152,2.688
1,2024-03-09 12:29:13.102156,3.249
2,2024-03-09 12:29:13.102157,2.822
3,2024-03-09 12:29:13.102158,2.830
0,2024-03-09 12:29:13.227653,2.750
