CPU,Time,GHz
0,2024-03-09 12:40:01.061841,0.025
1,2024-03-09 12:40:01.061850,2.868
2,2024-03-09 12:40:01.061852,0.298
3,2024-03-09 12:40:01.061853,0.034
0,2024-03-09 12:40:01.247920,0.012
1,2024-03-09 12:40:01.247925,2.859
2,2024-03-09 12:40:01.247927,0.030
3,2024-03-09 12:40:01.247928,0.325
0,2024-03-09 12:40:01.434900,0.018
1,2024-03-09 12:40:01.434906,2.753
2,2024-03-09 12:40:01.434907,0.222
3,2024-03-09 12:40:01.434909,0.014
0,2024-03-09 12:40:01.624131,0.013
1,2024-03-09 12:40:01.624136,2.873
2,2024-03-09 12:40:01.624138,0.261
3,2024-03-09 12:40:01.624139,0.145
0,2024-03-09 12:40:01.812304,0.014
1,2024-03-09 12:40:01.812311,2.603
2,2024-03-09 12:40:01.812314,0.162
3,2024-03-09 12:40:01.812317,0.072
0,2024-03-09 12:40:02.012794,3.106
1,2024-03-09 12:40:02.012804,0.014
2,2024-03-09 12:40:02.012807,0.022
3,2024-03-09 12:40:02.012810,0.015
0,2024-03-09 12:40:02.195777,0.038
1,2024-03-09 12:40:02.195787,2.695
2,2024-03-09 12:40:02.195791,0.345
3,2024-03-09 12:40:02.195794,0.009
0,2024-03-09 12:40:02.382832,0.019
1,2024-03-09 12:40:02.382843,2.699
2,2024-03-09 12:40:02.382847,0.034
3,2024-03-09 12:40:02.382850,0.096
0,2024-03-09 12:40:02.563972,0.035
1,2024-03-09 12:40:02.563982,2.706
2,2024-03-09 12:40:02.563986,0.010
3,2024-03-09 12:40:02.563989,0.020
0,2024-03-09 12:40:02.754300,0.017
1,2024-03-09 12:40:02.754309,2.847
2,2024-03-09 12:40:02.754313,0.043
3,2024-03-09 12:40:02.754317,0.084
0,2024-03-09 12:40:02.939786,0.035
1,2024-03-09 12:40:02.939793,3.070
2,2024-03-09 12:40:02.939795,0.229
3,2024-03-09 12:40:02.939797,0.074
0,2024-03-09 12:40:03.127591,2.818
1,2024-03-09 12:40:03.127598,0.035
2,2024-03-09 12:40:03.127601,0.047
3,2024-03-09 12:40:03.127603,0.011
0,2024-03-09 12:40:03.312597,2.818
1,2024-03-09 12:40:03.312605,0.016
2,2024-03-09 12:40:03.312608,0.339
3,2024-03-09 12:40:03.312610,0.115
0,2024-03-09 12:40:03.512317,3.165
1,2024-03-09 12:40:03.512325,0.030
2,2024-03-09 12:40:03.512328,0.011
3,2024-03-09 12:40:03.512329,0.012
0,2024-03-09 12:40:03.699653,2.839
1,2024-03-09 12:40:03.699658,0.014
2,2024-03-09 12:40:03.699660,0.063
3,2024-03-09 12:40:03.699662,0.069
0,2024-03-09 12:40:03.890306,2.676
1,2024-03-09 12:40:03.890312,0.020
2,2024-03-09 12:40:03.890315,0.078
3,2024-03-09 12:40:03.890317,0.030
0,2024-03-09 12:40:04.071242,0.013
1,2024-03-09 12:40:04.071249,3.243
2,2024-03-09 12:40:04.071251,0.061
3,2024-03-09 12:40:04.071254,0.012
0,2024-03-09 12:40:04.246748,0.015
1,2024-03-09 12:40:04.246755,2.864
2,2024-03-09 12:40:04.246757,0.030
3,2024-03-09 12:40:04.246760,0.010
0,2024-03-09 12:40:04.440268,0.011
1,2024-03-09 12:40:04.440275,2.868
2,2024-03-09 12:40:04.440278,0.069
3,2024-03-09 12:40:04.440280,0.013
0,2024-03-09 12:40:04.624649,0.013
1,2024-03-09 12:40:04.624656,2.831
2,2024-03-09 12:40:04.624659,0.331
3,2024-03-09 12:40:04.624661,0.026
0,2024-03-09 12:40:04.816774,0.012
1,2024-03-09 12:40:04.816780,2.893
2,2024-03-09 12:40:04.816783,0.168
3,2024-03-09 12:40:04.816785,0.012
0,2024-03-09 12:40:05.005310,2.863
1,2024-03-09 12:40:05.005316,0.021
2,2024-03-09 12:40:05.005319,0.121
3,2024-03-09 12:40:05.005321,0.012
0,2024-03-09 12:40:05.185717,0.014
1,2024-03-09 12:40:05.185725,2.828
2,2024-03-09 12:40:05.185727,0.178
3,2024-03-09 12:40:05.185729,0.010
0,2024-03-09 12:40:05.373566,0.012
1,2024-03-09 12:40:05.373574,3.031
2,2024-03-09 12:40:05.373577,0.165
3,2024-03-09 12:40:05.373579,0.062
0,2024-03-09 12:40:05.564276,2.733
1,2024-03-09 12:40:05.564283,0.017
2,2024-03-09 12:40:05.564286,0.018
3,2024-03-09 12:40:05.564288,0.025
0,2024-03-09 12:40:05.755550,2.681
1,2024-03-09 12:40:05.755557,0.057
2,2024-03-09 12:40:05.755560,0.025
3,2024-03-09 12:40:05.755562,0.066
0,2024-03-09 12:40:05.941552,2.724
1,2024-03-09 12:40:05.941559,0.014
2,2024-03-09 12:40:05.941562,0.065
3,2024-03-09 12:40:05.941564,0.098
0,2024-03-09 12:40:06.135256,2.780
1,2024-03-09 12:40:06.135263,0.040
2,2024-03-09 12:40:06.135265,0.069
3,2024-03-09 12:40:06.135268,0.072
0,2024-03-09 12:40:06.328281,0.043
1,2024-03-09 12:40:06.328288,2.886
2,2024-03-09 12:40:06.328291,0.018
3,2024-03-09 12:40:06.328293,0.060
0,2024-03-09 12:40:06.512021,0.014
1,2024-03-09 12:40:06.512065,2.836
2,2024-03-09 12:40:06.512068,0.217
3,2024-03-09 12:40:06.512070,0.081
0,2024-03-09 12:40:06.699830,3.048
1,2024-03-09 12:40:06.699837,0.042
2,2024-03-09 12:40:06.699842,0.115
3,2024-03-09 12:40:06.699845,0.087
0,2024-03-09 12:40:06.884759,2.872
1,2024-03-09 12:40:06.884767,0.039
2,2024-03-09 12:40:06.884770,0.087
3,2024-03-09 12:40:06.884772,0.012
0,2024-03-09 12:40:07.072146,2.758
1,2024-03-09 12:40:07.072150,0.011
2,2024-03-09 12:40:07.072152,0.029
3,2024-03-09 12:40:07.072153,0.121
0,2024-03-09 12:40:07.257304,0.010
1,2024-03-09 12:40:07.257310,2.943
2,2024-03-09 12:40:07.257313,0.085
3,2024-03-09 12:40:07.257315,0.047
0,2024-03-09 12:40:07.458576,2.836
1,2024-03-09 12:40:07.458584,0.045
2,2024-03-09 12:40:07.458587,0.062
3,2024-03-09 12:40:07.458589,0.179
0,2024-03-09 12:40:07.653927,0.013
1,2024-03-09 12:40:07.653938,2.839
2,2024-03-09 12:40:07.653941,0.188
3,2024-03-09 12:40:07.653944,0.012
0,2024-03-09 12:40:07.841867,0.039
1,2024-03-09 12:40:07.841877,2.846
2,2024-03-09 12:40:07.841880,0.025
3,2024-03-09 12:40:07.841883,0.119
0,2024-03-09 12:40:08.023328,0.012
1,2024-03-09 12:40:08.023336,2.981
2,2024-03-09 12:40:08.023338,0.050
3,2024-03-09 12:40:08.023341,0.135
0,2024-03-09 12:40:08.217986,0.016
1,2024-03-09 12:40:08.217994,2.691
2,2024-03-09 12:40:08.217998,0.099
3,2024-03-09 12:40:08.218001,0.013
0,2024-03-09 12:40:08.425742,0.016
1,2024-03-09 12:40:08.425752,2.930
2,2024-03-09 12:40:08.425755,0.015
3,2024-03-09 12:40:08.425758,0.142
0,2024-03-09 12:40:08.586724,0.039
1,2024-03-09 12:40:08.586730,0.189
2,2024-03-09 12:40:08.586731,0.105
3,2024-03-09 12:40:08.586733,0.011
0,2024-03-09 12:40:08.749839,0.016
1,2024-03-09 12:40:08.749844,0.194
2,2024-03-09 12:40:08.749846,0.109
3,2024-03-09 12:40:08.749847,0.016
0,2024-03-09 12:40:08.914023,0.013
1,2024-03-09 12:40:08.914049,0.177
2,2024-03-09 12:40:08.914051,0.093
3,2024-03-09 12:40:08.914052,0.032
0,2024-03-09 12:40:09.076535,0.019
1,2024-03-09 12:40:09.076539,0.017
2,2024-03-09 12:40:09.076541,0.014
3,2024-03-09 12:40:09.076542,0.012
0,2024-03-09 12:40:09.237001,0.026
